name,type,region,locality,geolocation
"The ""second"" home shopping store ""IJ Churin and Co. ""and store the Platonic brothers",architecture,Amur region,Blagoveshchensk,"(Decimal('127.548877'), Decimal('49.811568'))"
"""Town of security officers""",architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.621271'), Decimal('56.841798'))"
"""Palace for the beloved""",architecture,Kursk region,Safonovka,"(Decimal('35.139965'), Decimal('51.491293'))"
"""The House with The Firebird"" (manor Zhelyabov LK)",architecture,Tomsk region,Tomsk,"(Decimal('85.050946'), Decimal('56.469513'))"
"""House with the ghosts""",architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.958761'), Decimal('55.041787'))"
"""House-decanter""",architecture,Sverdlovsk region,Verkh-neyvinsky,"(Decimal('60.131644'), Decimal('57.265584'))"
"""Emelyanovsky number""",architecture,Yaroslavskaya oblast,Rostov,"(Decimal('39.414526'), Decimal('57.185866'))"
"""Myasnikovskaya» Hospital",architecture,Yaroslavskaya oblast,Rostov,"(Decimal('39.414526'), Decimal('57.185866'))"
"""The track Vejnbauma""",architecture,Belgorod region,Belgorod,"(Decimal('36.587223'), Decimal('50.59566'))"
"""Mansion Khomich""",architecture,Tomsk region,Tomsk,"(Decimal('84.947649'), Decimal('56.48464'))"
"""Gray Horse""",architecture,Primorsky Krai,Vladivostok,"(Decimal('131.885485'), Decimal('43.115536'))"
"""Photography"" IM Babykin",architecture,Kurgan region,Mound,"(Decimal('65.341118'), Decimal('55.441004'))"
Avramievsky gate tower,architecture,Smolensk region,Smolensk,"(Decimal('32.045251'), Decimal('54.782635'))"
Volgograd Region Administration (the building of Party Committee and Executive Committee),architecture,Volgograd region,Volgograd,"(Decimal('44.516948'), Decimal('48.707067'))"
Ekaterinburg City Administration,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('61.077166'), Decimal('56.744732'))"
Azov Gunpowder Cellar,architecture,Rostov region,Azov,"(Decimal('39.408391'), Decimal('47.119291'))"
Academy of Arts,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.345926'), Decimal('59.991093'))"
Alexander Mariinsky five-class school,architecture,Irkutsk region,Irkutsk,"(Decimal('104.281047'), Decimal('52.287054'))"
Alekseevskaya women's gymnasium,architecture,Amur region,Blagoveshchensk,"(Decimal('127.527173'), Decimal('50.29064'))"
Anapa lighthouse,architecture,Krasnodar region,Anapa,"(Decimal('37.304366'), Decimal('44.953155'))"
